Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
6300000.0,Secondary, Опалиха,6.0,Moscow region,1.0,30.6,11.1,8.5,25.0,25,Cosmetic
9000000.0,Secondary, Павшино,2.0,Moscow region,1.0,49.2,20.0,10.0,6.0,15,European-style renovation
11090000.0,Secondary, Мякинино,14.0,Moscow region,1.0,44.7,16.2,13.1,10.0,25,Cosmetic
8300000.0,Secondary, Строгино,8.0,Moscow region,1.0,35.1,16.0,11.0,12.0,33,European-style renovation
6450000.0,Secondary, Опалиха,6.0,Moscow region,1.0,37.7,15.2,4.0,5.0,5,Without renovation
7150000.0,Secondary, Опалиха,6.0,Moscow region,1.0,38.4,18.0,8.0,8.0,18,European-style renovation
7400000.0,Secondary, Нахабино,11.0,Moscow region,1.0,33.0,16.0,8.0,7.0,7,European-style renovation
7500000.0,Secondary, Строгино,27.0,Moscow region,1.0,25.0,14.8,8.7,16.0,34,European-style renovation
7800000.0,Secondary, Красногорская,6.0,Moscow region,1.0,41.8,18.0,10.0,6.0,17,Cosmetic
7999999.0,Secondary, Тушинская,35.0,Moscow region,1.0,44.0,19.0,11.0,11.0,24,Designer
9000000.0,Secondary, Аникеевка,17.0,Moscow region,1.0,44.8,15.0,10.3,5.0,6,European-style renovation
12300000.0,Secondary, Волоколамская,16.0,Moscow region,1.0,39.0,21.9,9.9,26.0,30,Designer
14000000.0,Secondary, Волоколамская,12.0,Moscow region,1.0,48.0,23.0,9.0,12.0,28,Designer
6000000.0,Secondary, Павшино,3.0,Moscow region,1.0,33.8,17.0,7.0,4.0,9,Without renovation
6200000.0,Secondary, Красногорская,19.0,Moscow region,1.0,32.7,18.0,6.0,9.0,9,European-style renovation
6300000.0,Secondary, Красногорская,19.0,Moscow region,1.0,32.1,18.4,9.3,2.0,9,Without renovation
6500000.0,Secondary, Опалиха,7.0,Moscow region,1.0,34.9,17.0,9.0,2.0,14,Cosmetic
6800000.0,Secondary, Опалиха,7.0,Moscow region,1.0,38.0,17.4,9.0,8.0,14,European-style renovation
7350000.0,Secondary, Опалиха,6.0,Moscow region,1.0,40.0,16.1,9.8,17.0,24,European-style renovation
8100000.0,Secondary, Красногорская,6.0,Moscow region,1.0,47.6,26.0,12.0,8.0,11,Cosmetic
8200000.0,Secondary, Опалиха,12.0,Moscow region,1.0,32.5,18.6,9.3,1.0,8,Designer
8600000.0,Secondary, Строгино,8.0,Moscow region,1.0,36.5,13.0,15.0,23.0,33,Designer
9200000.0,Secondary, Опалиха,5.0,Moscow region,1.0,33.75,16.5,8.6,3.0,8,Designer
9300000.0,Secondary, Волоколамская,15.0,Moscow region,1.0,39.1,18.0,11.0,17.0,29,Without renovation
10099000.0,Secondary, Мякинино,16.0,Moscow region,1.0,38.0,21.3,9.8,6.0,19,Designer
11000000.0,Secondary, Строгино,11.0,Moscow region,1.0,50.8,23.2,11.6,14.0,22,Cosmetic
14000000.0,Secondary, Мякинино,16.0,Moscow region,1.0,38.1,21.4,9.8,5.0,19,Designer
7800000.0,Secondary, Опалиха,6.0,Moscow region,1.0,39.5,16.6,12.0,20.0,26,European-style renovation
7750000.0,Secondary, Опалиха,7.0,Moscow region,1.0,39.5,14.0,14.1,2.0,26,European-style renovation
8300000.0,Secondary, Опалиха,5.0,Moscow region,1.0,44.0,18.0,11.6,10.0,25,Cosmetic
8500000.0,Secondary, Пенягино,16.0,Moscow region,1.0,32.1,9.0,18.0,23.0,45,European-style renovation
9400000.0,Secondary, Пенягино,9.0,Moscow region,1.0,42.0,9.0,10.1,4.0,23,Cosmetic
9500000.0,Secondary, Мякинино,20.0,Moscow region,1.0,37.7,18.9,7.4,8.0,17,Without renovation
9600000.0,Secondary, Мякинино,20.0,Moscow region,1.0,38.6,21.6,9.8,16.0,17,Cosmetic
9700000.0,Secondary, Митино,7.0,Moscow region,1.0,42.3,23.5,10.1,7.0,17,European-style renovation
10300000.0,Secondary, Строгино,8.0,Moscow region,1.0,38.6,17.0,12.0,16.0,32,European-style renovation
11000000.0,Secondary, Мякинино,15.0,Moscow region,1.0,43.0,19.6,5.0,3.0,17,European-style renovation
11680000.0,Secondary, Пенягино,16.0,Moscow region,1.0,36.5,20.6,9.7,5.0,45,Designer
11900000.0,Secondary, Павшино,2.0,Moscow region,1.0,28.0,18.0,7.0,12.0,31,Designer
